ano,sigla_uf,sequencial_candidato,resultado,votos
2006,AC,10309,nao eleito,20476
2006,AC,10002,nao eleito,833
2006,AC,10159,nao eleito,2420
2006,AC,10028,eleito,187432
2006,AL,10018,nao eleito,419
2006,AL,10171,nao eleito,501239
2006,AL,10053,nao eleito,120656
2006,AL,10045,nao eleito,66895
2006,AL,10541,eleito,550725
2006,AL,10214,nao eleito,697
2006,AL,10144,nao eleito,8679
2006,AL,10002,nao eleito,1207
2006,AM,10044,nao eleito,1848
2006,AM,10261,nao eleito,444
2006,AM,10270,nao eleito,21200
2006,AM,10113,nao eleito,289234
2006,AM,10366,eleito,629606
2006,AM,10588,nao eleito,225197
2006,AM,10660,nao eleito,158333
2006,AP,10076,nao eleito,327
2006,AP,10083,eleito,152486
2006,AP,10566,nao eleito,753
2006,AP,10200,nao eleito,123378
2006,AP,10620,nao eleito,1360
2006,AP,10077,nao eleito,3608
2006,AP,10078,nao eleito,1150
2006,BA,10192,nao eleito,1416
2006,BA,10570,eleito,2655552
2006,BA,10187,nao eleito,1947777
2006,BA,10124,nao eleito,1015634
2006,BA,10539,nao eleito,19603
2006,BA,10856,nao eleito,10204
2006,BA,10986,nao eleito,3080
2006,CE,10271,eleito,1912663
2006,CE,10220,nao eleito,6084
2006,CE,10265,nao eleito,39327
2006,CE,10064,nao eleito,1680362
2006,CE,10094,nao eleito,3640
2006,CE,10223,nao eleito,18545
2006,DF,10374,nao eleito,544313
2006,DF,10000,nao eleito,1835
2006,DF,10657,nao eleito,1363
2006,DF,10607,nao eleito,30851
2006,DF,11160,nao eleito,16978
2006,DF,10524,eleito,657217
2006,DF,10693,nao eleito,3777
2006,DF,11003,nao eleito,10974
2006,DF,11000,nao eleito,740
2006,ES,10026,nao eleito,2952
2006,ES,10513,nao eleito,593582
2006,ES,10448,eleito,1031487
2006,ES,10172,nao eleito,5241
2006,ES,10007,nao eleito,20675
2006,GO,10225,nao eleito,115689
2006,GO,10054,nao eleito,3777
2006,GO,10011,nao eleito,26415
2006,GO,10087,nao eleito,503203
2006,GO,10094,eleito,2035564
2006,MA,10173,nao eleito,2076
2006,MA,10037,nao eleito,17655
2006,MA,10409,nao eleito,35304
2006,MA,10054,nao eleito,918701
2006,MA,10017,nao eleito,3314
2006,MA,10002,nao eleito,4743
2006,MA,10305,nao eleito,557035
2006,MA,10561,eleito,1016240
2006,MA,10553,nao eleito,25909
